text,target,category,polarity,from,to,id,_rid,target,category,polarity,from,to,text,target,category,polarity,from,to,id,text,target,category,polarity,from,to,id,text,target,category,polarity,from,to,id,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,text,target,category,polarity,from,to,id,text,target,category,polarity,from,to,id,text,target,category,polarity,from,to,id,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to,target,category,polarity,from,to
Great South Indian vegetarian fare!,vegetarian fare,FOOD#QUALITY,positive,19,34,10:00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best soy coffee!,soy coffee,DRINKS#QUALITY,positive,5,15,11:00,11,,,,,,They use BonSoy and if you get a mocha they use Belgian chocolate.,,,,,,11:01,Delicious!,,FOOD#QUALITY,positive,0,0,11:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surprisingly good bourbon list.,bourbon list,DRINKS#STYLE_OPTIONS,positive,18,30,12:00,12,,,,,,Ask Christian.,,,,,,12:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No fries!,fries,FOOD#STYLE_OPTIONS,negative,3,8,13:00,13,,,,,,Really?!?!,,,,,,13:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burgers with extra pickles, onion rings and the chocolate shake are the best ever!!!! :) A must try if in the area.",Burgers,FOOD#QUALITY,positive,0,7,14:00,14,onion rings,FOOD#QUALITY,positive,28,39,"Just remember it's ""cash only""! :)",,,,,,14:01,,,,,,,,,,,,,,,,,,,,chocolate shake,DRINKS#QUALITY,positive,48,63,,RESTAURANT#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great spiced apple drink.,spiced apple drink,DRINKS#QUALITY,positive,6,24,15:00,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Try ice vanilla latte and chic o cheese,ice vanilla latte,DRINKS#QUALITY,positive,4,21,16:00,16,chic o cheese,FOOD#STYLE_OPTIONS,positive,26,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menu is on e readers.,,,,,,17:00,17,,,,,,Pretty cool!!,,RESTAURANT#GENERAL,positive,0,0,17:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A good cafe to rest in after a tiring walk in Mecca Mall,cafe,RESTAURANT#GENERAL,positive,7,11,18:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great food.,food,FOOD#QUALITY,positive,6,10,19:00,19,,,,,,Excellent service.,service,SERVICE#GENERAL,positive,10,17,19:01,Great prices,,RESTAURANT#PRICES,positive,0,0,19:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Double cheeseBK n Nice outdoor atmosphere ^^ #HomeyBali,atmosphere,AMBIENCE#GENERAL,positive,35,45,20:00,20,Double cheeseBK,FOOD#QUALITY,positive,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get the home made lime/mint lemonade!,lime/mint lemonade,DRINKS#QUALITY,positive,18,36,21:00,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben here 4 times in last month.,,RESTAURANT#GENERAL,positive,0,0,22:00,22,,,,,,Excellent sushi and old fashions.,sushi,FOOD#QUALITY,positive,10,15,22:01,Music is way too loud for dining though!,Music,AMBIENCE#GENERAL,negative,0,5,22:02,Turn it down a tad for eating please!,,AMBIENCE#GENERAL,negative,0,0,22:03,fashions,AMBIENCE#GENERAL,positive,24,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best wings, rolling to a spot near you.",wings,FOOD#QUALITY,positive,5,10,23:00,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you're a lover of all things pumpkin, try the pumpkin bagel with the pumpkin cream cheese when they're in season!",pumpkin bagel with the pumpkin cream cheese,FOOD#QUALITY,positive,49,92,24:00:00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did this..Love it.,,RESTAURANT#GENERAL,positive,0,0,25:00:00,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chips and wam salsa.,Chips,FOOD#QUALITY,positive,0,5,26:00:00,26,wam salsa,FOOD#QUALITY,positive,10,19,Delicious!,,FOOD#QUALITY,positive,0,0,26:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Try the calamari Taco n add some hot sauce..delicious!!,calamari Taco,FOOD#QUALITY,positive,8,21,27:00:00,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The chocolate babka is amazing- buttery, plenty of chocolate & stays moist (even when left open on a counter)!!",chocolate babka,FOOD#QUALITY,positive,4,19,28:00:00,28,,,,,,"If you order coffee at the front register, you have to go to the back to pick it up.",,,,,,28:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beers all over the world, cool place",Beers,DRINKS#STYLE_OPTIONS,positive,0,5,29:00:00,29,place,RESTAURANT#GENERAL,positive,31,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nice place.,place,RESTAURANT#GENERAL,positive,5,10,30:00:00,30,,,,,,Good coffee not bad prices.,coffee,DRINKS#QUALITY,positive,5,11,30:01:00,But the menu could do with a redesign.,menu,FOOD#STYLE_OPTIONS,negative,8,12,30:02:00,Doesn't match the aesthetic of the property.,,,,,,30:03:00,,RESTAURANT#PRICES,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good food.,food,FOOD#QUALITY,positive,5,9,31:00:00,31,,,,,,Parking can be a real pain!,Parking,RESTAURANT#MISCELLANEOUS,negative,0,7,31:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The red beans and rice are DELICIOUS.. better than Pat O'Briens.,red beans,FOOD#QUALITY,positive,4,13,32:00:00,32,rice,FOOD#QUALITY,positive,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is my fourth time here.,,RESTAURANT#GENERAL,positive,0,0,33:00:00,33,,,,,,Gets better every single time.,,RESTAURANT#GENERAL,positive,0,0,33:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Must try shrimp avoid salad and Nutella Tiramissu.,shrimp,FOOD#QUALITY,positive,9,15,34:00:00,34,salad,FOOD#QUALITY,negative,22,27,Enjoy!,,RESTAURANT#GENERAL,positive,0,0,34:01:00,,,,,,,,,,,,,,,,,,,,Nutella Tiramissu,FOOD#QUALITY,negative,32,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is Mexican food done right.,food,FOOD#QUALITY,positive,16,20,35:00:00,35,,,,,,But If you want tortillas they will charge you for mere 2 tortillas (that is not right),,RESTAURANT#PRICES,negative,0,0,35:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waitress wears flip flop.,Waitress,SERVICE#GENERAL,negative,0,8,36:00:00,36,,,,,,Doesn't know how to properly pour water out of a pitcher.,,SERVICE#GENERAL,negative,0,0,36:01:00,Food was good though.,Food,FOOD#QUALITY,positive,0,4,36:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Such a beautiful place,place,AMBIENCE#GENERAL,positive,17,22,37:00:00,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The guys here will give you a hard time with the check in special.,guys,SERVICE#GENERAL,negative,4,8,38:00:00,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puts Moe's and Chipotle to shame,,,,,,39:00:00,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chicken teriyaki is good, vegetables nicely preppes, good serving portion, price friendly",Chicken teriyaki,FOOD#QUALITY,positive,0,16,40:00:00,40,vegetables,FOOD#QUALITY,positive,26,36,,,,,,,,,,,,,,,,,,,,,,,,,,,portion,FOOD#STYLE_OPTIONS,positive,66,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you're looking for homemade local food.,food,FOOD#QUALITY,positive,37,41,41:00:00,41,,,,,,"Thats the address.You should try ""keskek"" which is a traditional food.",address,RESTAURANT#GENERAL,positive,10,17,41:01:00,Kind of turkish risotto,,,,,,41:02:00,,,,,,,,"""keskek""",FOOD#QUALITY,positive,33,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Red Velvet Waffles are to die for!,Red Velvet Waffles,FOOD#QUALITY,positive,4,22,42:00:00,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The owner, Whitney, suggested the small pies for client thank you gifts.",owner,SERVICE#GENERAL,positive,4,9,43:00:00,43,pies,FOOD#QUALITY,positive,40,44,"I tried the Dutch Apple, it was DELICIOUS!!!",Dutch Apple,FOOD#QUALITY,positive,12,23,43:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium coffee + oatmeal for $3.50 = a great way to start the day.,,RESTAURANT#PRICES,positive,0,0,44:00:00,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Really excellent beer selection, solid food choices, and probably the worst music ever.",beer selection,DRINKS#STYLE_OPTIONS,positive,17,31,45:00:00,45,food choices,FOOD#STYLE_OPTIONS,positive,39,51,,,,,,,,,,,,,,,,,,,,,,,,,,,music,AMBIENCE#GENERAL,negative,76,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soo tasty meze, great balcony overviewing the bay",meze,FOOD#QUALITY,positive,10,14,46:00:00,46,balcony,LOCATION#GENERAL,positive,22,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plan to wait a while.,,,,,,47:00:00,47,,,,,,This McDonald's is slow.,McDonald's,SERVICE#GENERAL,negative,5,15,47:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get the Atticus Finch.,Atticus Finch,FOOD#QUALITY,positive,8,21,48:00:00,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
These burgers are the shit!,burgers,FOOD#QUALITY,negative,6,13,49:00:00,49,,,,,,"Forget Grill'd , Forget all other burger joints in Melbourne.",Grill'd,RESTAURANT#GENERAL,negative,7,14,49:01:00,Danny's Burgers is where its at!,Danny's Burgers,RESTAURANT#GENERAL,positive,0,15,49:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avoid the butter chicken unless you want a bowl of microwaved stodge with no taste and fatty chicken.,butter chicken,FOOD#QUALITY,negative,10,24,50:00:00,50,,,,,,Not to mention the stale bread!,bread,FOOD#QUALITY,negative,25,30,50:01:00,On the plus side service was lightening fast!,service,SERVICE#GENERAL,negative,17,24,50:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Always great service up in the bar.,service,SERVICE#GENERAL,positive,13,20,51:00:00,51,,,,,,Love the Chicago 7 calzone.,Chicago 7 calzone,FOOD#QUALITY,positive,9,26,51:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The chicken wing is the best xD yums <3,chicken wing,FOOD#QUALITY,positive,4,16,52:00:00,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awesome Chicken Greek Salad,Chicken Greek Salad,FOOD#QUALITY,positive,8,27,53:00:00,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakfast was awful.,Breakfast,FOOD#QUALITY,negative,0,9,54:00:00,54,,,,,,No server came to greet us the whole hour our three person party was there which meant we couldn't order any hot food.,server,SERVICE#GENERAL,negative,3,9,54:01:00,Every table was dirty and food that was out was old.,table,AMBIENCE#GENERAL,negative,6,11,54:02:00,,,,,,,,,,,,,,,,,,,,,,,food,FOOD#QUALITY,negative,26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great food, kids are too loud......",food,FOOD#QUALITY,positive,6,10,55:00:00,55,kids,AMBIENCE#GENERAL,negative,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The shrimp risotto off the dinner menu is EPIC,shrimp risotto,FOOD#QUALITY,positive,4,18,56:00:00,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great breakfasts in a nice furnished cafè, slightly bohemian.",breakfasts,FOOD#QUALITY,positive,6,16,57:00:00,57,cafè,AMBIENCE#GENERAL,positive,37,41,Staff was friendly and they have free wifi.,Staff,SERVICE#GENERAL,positive,0,5,57:01:00,Everything is organic and they have a great selection of jams.,selection of jams,FOOD#STYLE_OPTIONS,positive,44,61,57:02:00,,,,,,,,,,,,,,,,,,,,,,,Everything,FOOD#STYLE_OPTIONS,positive,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Their beef salpicao is delicious!,beef salpicao,FOOD#QUALITY,positive,6,19,58:00:00,58,,,,,,Good ambience and fast service!,ambience,AMBIENCE#GENERAL,positive,5,13,58:01:00,We love it!,,RESTAURANT#GENERAL,positive,0,0,58:02:00,,,,,,,,service,SERVICE#GENERAL,positive,23,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farted In one of these cars, stank for days.",,,,,,59:00:00,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can also get one of these in the evening at the riverside next to BarKa (https://www.facebook.com/planbarka).,,,,,,60:00:00,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It's a nice place,quiet and comfortable with nice people and good food...I recommend.",place,AMBIENCE#GENERAL,positive,12,17,61:00:00,61,people,AMBIENCE#GENERAL,positive,50,56,,,,,,,,,,,,,,,,,,,,,,,,,,,food,FOOD#QUALITY,positive,66,70,,RESTAURANT#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go to rockys on 2nd ave instead,,,,,,62:00:00,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't be fooled by the strip mall location.,,,,,,63:00:00,63,,,,,,Great fresh food.,food,FOOD#QUALITY,positive,12,16,63:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nice simple place, fish and sea food available, prices are fine and easy to park.",place,RESTAURANT#GENERAL,positive,12,17,64:00:00,64,,RESTAURANT#PRICES,positive,0,0,"Other meals, salads and snacks in the menu.",,,,,,64:01:00,Give it a try when around bathing.,,RESTAURANT#GENERAL,positive,0,0,64:02:00,,,,,,,,,,,,,,LOCATION#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoked I was finally able to stop by after hearing about it from SLO friends for so long.,,,,,,65:00:00,65,,,,,,This place stands up with the best of them.,,,,,,65:01:00,"10/10, would consume caffeine here again.",caffeine,DRINKS#QUALITY,positive,21,29,65:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jerry lee, I'm starvin!!!",,,,,,66:00:00,66,,,,,,And u didn't invite me?,,,,,,66:01:00,I got my sad face on now! :(,,,,,,66:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best pizza in town!,pizza,FOOD#QUALITY,positive,5,10,67:00:00,67,,,,,,Excellent wings and salad!,wings,FOOD#QUALITY,positive,10,15,67:01:00,Great lunch specials!,lunch specials,FOOD#QUALITY,positive,6,20,67:02:00,,,,,,,,salad,FOOD#QUALITY,positive,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Place is very clean, amazing service an atmosphere looking forward to going back to try brunch!",Place,AMBIENCE#GENERAL,positive,0,5,68:00:00,68,service,SERVICE#GENERAL,positive,29,36,,,,,,,,,,,,,,,,,,,,,,,,,,,atmosphere,AMBIENCE#GENERAL,positive,40,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very unprofessional...,,SERVICE#GENERAL,negative,0,0,69:00:00,69,,,,,,"I called to make a reservatiom and they said that they did not take any reservation, but when I came directly, they said it was fully booked...",,SERVICE#GENERAL,negative,0,0,69:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service here is great all the time :),Service,SERVICE#GENERAL,positive,0,7,70:00:00,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
