rid,sentences__sentence__text,sentences__sentence__Opinions__Opinion__category,sentences__sentence__Opinions__Opinion__polarity
,,SERVICE#GENERAL,positive
,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",FOOD#QUALITY,positive
,,FOOD#QUALITY,positive
,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,SERVICE#GENERAL,positive
1055910,we love th pink pony.,RESTAURANT#GENERAL,positive
,THe perfect spot.,RESTAURANT#GENERAL,positive
,Food-awesome.,FOOD#QUALITY,positive
,Service- friendly and attentive.,SERVICE#GENERAL,positive
,Ambiance- relaxed and stylish.,AMBIENCE#GENERAL,positive
,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",RESTAURANT#GENERAL,positive
1058221,"i have eaten here a handful of times, for no reason besides sheer convenience.",,
,"(i hang out, and live, in the neighborhood..) ",,
,the food is decent.,FOOD#QUALITY,neutral
,"however, it's the service that leaves a bad taste in my mouth.",SERVICE#GENERAL,negative
,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",SERVICE#GENERAL,negative
,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",SERVICE#GENERAL,negative
,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ",RESTAURANT#GENERAL,negative
,the last time i walked by it looked pretty empty. hmmm.,RESTAURANT#MISCELLANEOUS,negative
1062641,This place has got to be the best japanese restaurant in the new york area.,RESTAURANT#GENERAL,positive
,I had a great experience.,RESTAURANT#GENERAL,positive
,Food is great.,FOOD#QUALITY,positive
,Service is top notch.,SERVICE#GENERAL,positive
,I have been going back again and again.,RESTAURANT#GENERAL,positive
1064477,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",FOOD#QUALITY,positive
,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",FOOD#QUALITY,positive
,The sushi seemed pretty fresh and was adequately proportioned.,FOOD#QUALITY,positive
,,FOOD#STYLE_OPTIONS,positive
,The rice to fish ration was also good--they didn't try to overpack the rice.,FOOD#STYLE_OPTIONS,positive
,We took advanatage of the half price sushi deal on saturday so it was well worth it.,FOOD#QUALITY,positive
,,FOOD#PRICES,positive
1074868,I went to this restaurant with a woman that I met recently.,,
,She lives nearby but had never gone to this establishment thinking that it might be too touristy.,,
,Surprisingly nothing could be further from the truth.,RESTAURANT#MISCELLANEOUS,positive
,"In the evening, this place attracted a well dressed, with it, NY crowd.",RESTAURANT#MISCELLANEOUS,positive
,The food was well prepared and the service impecable.,FOOD#QUALITY,positive
,,SERVICE#GENERAL,positive
,I'm going back.,RESTAURANT#GENERAL,positive
1084394,"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.",,
,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,AMBIENCE#GENERAL,positive
,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,
,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,FOOD#QUALITY,positive
,,FOOD#STYLE_OPTIONS,positive
,,FOOD#PRICES,positive
,I will be going back and heartily recommend it!,RESTAURANT#GENERAL,positive
1086415,"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.",,
,"It is terrific, as is the value.",FOOD#QUALITY,positive
,,FOOD#PRICES,positive
,"$6 and there is much tasty food, all of it fresh and continually refilled.",FOOD#STYLE_OPTIONS,positive
,,FOOD#QUALITY,positive
,,FOOD#PRICES,positive
,"I am not a vegetarian but, almost all the dishes were great.",FOOD#QUALITY,positive
,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",,
,Go hungry and enjoy.,RESTAURANT#GENERAL,positive
1086478,"The food here is rather good, but only if you like to wait for it.",FOOD#QUALITY,positive
,,SERVICE#GENERAL,negative
,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY,positive
,,FOOD#QUALITY,positive
,,FOOD#QUALITY,positive
,,FOOD#QUALITY,negative
,,FOOD#QUALITY,negative
,"The service varys from day to day- sometimes they're very nice, and sometimes not.",SERVICE#GENERAL,negative
,"The kitchen however, is almost always slow.",SERVICE#GENERAL,negative
,"Also, specify if you like your food spicy- its rather bland if you don't.",FOOD#QUALITY,negative
,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",AMBIENCE#GENERAL,positive
,,RESTAURANT#MISCELLANEOUS,positive
1090587,Just went here for my girlfriends 23rd bday.,,
,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,LOCATION#GENERAL,positive
,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,SERVICE#GENERAL,positive
,,FOOD#QUALITY,positive
,,FOOD#PRICES,positive
,The lava cake dessert was incredible and I recommend it.,FOOD#QUALITY,positive
1102681,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",AMBIENCE#GENERAL,positive
,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",AMBIENCE#GENERAL,positive
,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#QUALITY,positive
,,FOOD#QUALITY,negative
,,FOOD#STYLE_OPTIONS,positive
,,FOOD#QUALITY,negative
,"However, go for the ambience, and consider the food just a companion for a trip across the world!",AMBIENCE#GENERAL,positive
,,FOOD#QUALITY,neutral
1118167,"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.",,
,IT WAS HORRIBLE.,RESTAURANT#GENERAL,negative
,The pizza was delivered cold and the cheese wasn't even fully melted!,FOOD#QUALITY,negative
,,FOOD#QUALITY,negative
,It looked like shredded cheese partly done - still in strips.,FOOD#STYLE_OPTIONS,negative
,I have eaten at many pizza places around NYC and this is hands down the worst.,,
1119578,This has got to be one of the most overrated restaurants in Brooklyn.,RESTAURANT#GENERAL,negative
,The pizza is overpriced and soggy.,FOOD#QUALITY,negative
,,FOOD#PRICES,negative
,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",FOOD#QUALITY,positive
,,FOOD#QUALITY,negative
,,FOOD#QUALITY,negative
,"A big disappointment, all around.",RESTAURANT#GENERAL,negative
1123262,I think I've had some the best meals of my life at minnow.,FOOD#QUALITY,positive
,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",FOOD#QUALITY,positive
,,DRINKS#STYLE_OPTIONS,positive
,,FOOD#STYLE_OPTIONS,positive
,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,FOOD#QUALITY,positive
,Worth the trip from Manhattan.,RESTAURANT#GENERAL,positive
1125006,Was there Friday night.,,
,Best Pastrami I ever had and great portion without being ridiculous.,FOOD#QUALITY,positive
,,FOOD#STYLE_OPTIONS,positive
,And I've been to many NYC delis.,,
,My wife had the fried shrimp which are huge and loved it.,FOOD#STYLE_OPTIONS,positive
,,FOOD#QUALITY,positive
,Price no more than a Jersey deli but way better.,,
1125284,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",RESTAURANT#GENERAL,positive
,This place is the most Japanese it can ever get.,RESTAURANT#MISCELLANEOUS,positive
,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",RESTAURANT#MISCELLANEOUS,positive
,,FOOD#STYLE_OPTIONS,positive
,,FOOD#QUALITY,positive
,,SERVICE#GENERAL,positive
,This place is worth an one-hour drive.,RESTAURANT#GENERAL,positive
,"I am so coming back here again, as much as I can.",RESTAURANT#GENERAL,positive
1126814,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",RESTAURANT#GENERAL,positive
,,AMBIENCE#GENERAL,positive
,,FOOD#QUALITY,positive
,,AMBIENCE#GENERAL,positive
,,FOOD#QUALITY,positive
,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",SERVICE#GENERAL,positive
,Sit outside in the warm weather; inside for cozy winter.,,
,Decent wine at reasonable prices.,DRINKS#QUALITY,neutral
,,DRINKS#PRICES,positive
,Have been dozens of times and never failed to enjoy the experience.,RESTAURANT#GENERAL,positive
,"Our teenage kids love it, too.",RESTAURANT#GENERAL,positive
1126886,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",RESTAURANT#GENERAL,positive
,This is by far my favorite place in the neighborhood.,RESTAURANT#GENERAL,positive
,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",SERVICE#GENERAL,positive
,,AMBIENCE#GENERAL,positive
,,FOOD#QUALITY,positive
,,FOOD#STYLE_OPTIONS,positive
,"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.",,
,I'm partial to the Gnocchi.,RESTAURANT#GENERAL,positive
1131595,This place is incredibly tiny.,RESTAURANT#MISCELLANEOUS,negative
,They refuse to seat parties of 3 or more on weekends.,SERVICE#GENERAL,negative
,The hostess is rude to the point of being offensive.,SERVICE#GENERAL,negative
,The food was bland oily.,FOOD#QUALITY,negative
,I just don't understand all the hype...,RESTAURANT#GENERAL,negative
1138996,We went to Ino for Valentines.,,
,"We have been to this place many times, and always have great food, wine, and service.",FOOD#QUALITY,positive
,,DRINKS#QUALITY,positive
,,SERVICE#GENERAL,positive
,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",SERVICE#GENERAL,positive
,As always we had a great glass of wine while we waited.,DRINKS#QUALITY,positive
,"When we sat, we got great and fast service.",SERVICE#GENERAL,positive
,The people that work there are always so friendly you forget you are in New York sometimes.,SERVICE#GENERAL,positive
,Make sure you try this place as often as you can.,RESTAURANT#GENERAL,positive
1145510,This is a fun restaurant to go to.,RESTAURANT#GENERAL,positive
,The pizza is yummy and I like the atmoshpere.,FOOD#QUALITY,positive
,,AMBIENCE#GENERAL,positive
,But the pizza is way to expensive.,FOOD#PRICES,negative
,"A large is $20, and toppings are about $3 each.",FOOD#PRICES,negative
,,FOOD#PRICES,negative
1147082,I went there for lunch and it was not as good as I expected from the reviews I read.,FOOD#QUALITY,negative
,Sauce was watery and the food didn't have much flavor.,FOOD#QUALITY,negative
,,FOOD#QUALITY,negative
,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",,
,I don't think I would go again.,RESTAURANT#GENERAL,negative
1147211,This place is great.,RESTAURANT#GENERAL,positive
,I had a huge group for my birthday and we were well taken care of.,SERVICE#GENERAL,positive
,The waitress was very patient with us and the food is phenomenal!,SERVICE#GENERAL,positive
,,FOOD#QUALITY,positive
,"Service was prompt, friendly and great.",SERVICE#GENERAL,positive
,Slightly on the pricey side but worth it!,RESTAURANT#PRICES,negative
,,RESTAURANT#GENERAL,positive
1153034,Great pizza and fantastic service.,FOOD#QUALITY,positive
,,SERVICE#GENERAL,positive
,"There was a small wait, but shorter than I expected.",SERVICE#GENERAL,positive
,Located at the end of a magnificent block.,LOCATION#GENERAL,positive
,Very cozy and warm inside.....,AMBIENCE#GENERAL,positive
,I will be back!,RESTAURANT#GENERAL,positive
1154550,This is the best sushi in new york city - hands down.,FOOD#QUALITY,positive
,The place is small and cramped but the food is fantastic.,AMBIENCE#GENERAL,negative
,,FOOD#QUALITY,positive
,Get the tuna of gari.,FOOD#QUALITY,positive
,The one on the east side is much better than the one on the west side.,,
1162037,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",FOOD#QUALITY,positive
,,FOOD#QUALITY,positive
,,RESTAURANT#GENERAL,positive
,"With the great variety on the menu , I eat here often and never get bored .",FOOD#STYLE_OPTIONS,positive
,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",AMBIENCE#GENERAL,neutral
,,RESTAURANT#PRICES,positive
,It's all about the food !!,FOOD#QUALITY,positive
1167434,I went there with my friend last saturday.,,
,first it took us a long time to find the place.,RESTAURANT#MISCELLANEOUS,negative
,"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",,
,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",FOOD#STYLE_OPTIONS,negative
,then we ordered a dinosaur rolls and white tuna sashimi.,,
,"those rolls were big, but not good and sashimi wasn't fresh.",FOOD#STYLE_OPTIONS,neutral
,,FOOD#QUALITY,negative
,,FOOD#QUALITY,negative
,"they were dry and disgusting, i didn't even finish my first piece.",FOOD#QUALITY,negative
1175958,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,SERVICE#GENERAL,positive
,"Try the crunchy tuna, it is to die for.",FOOD#QUALITY,positive
,"Try everything for that matter, it is all good.",FOOD#QUALITY,positive
,I have been going there since it opened and I can't get enough.,RESTAURANT#GENERAL,positive
1189674,First went here to enjoy their garden terrace.,AMBIENCE#GENERAL,positive
,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",FOOD#QUALITY,positive
,,SERVICE#GENERAL,positive
,"The Steak Tartare is a great bet, they fix it for you at the table.",FOOD#STYLE_OPTIONS,positive
,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",AMBIENCE#GENERAL,positive
,,AMBIENCE#GENERAL,negative
,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",DRINKS#STYLE_OPTIONS,positive
,,DRINKS#QUALITY,positive
,,DRINKS#PRICES,positive
,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",AMBIENCE#GENERAL,neutral
,,AMBIENCE#GENERAL,positive
,,FOOD#QUALITY,positive
,"Have recommended the place to friends, always gets good response.",RESTAURANT#MISCELLANEOUS,positive
1199292,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",FOOD#QUALITY,positive
,,FOOD#QUALITY,positive
,Veal Parmigana - Better than Patsy's!,,
,Much more reasonably priced too!,,
,I take all my NYC guests to VT's.,RESTAURANT#MISCELLANEOUS,positive
1199480,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",LOCATION#GENERAL,positive
,,FOOD#QUALITY,positive
,I've been there three times and have always had wonderful experiences.,RESTAURANT#GENERAL,positive
,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,AMBIENCE#GENERAL,positive
,,SERVICE#GENERAL,positive
,,RESTAURANT#MISCELLANEOUS,positive
1205520,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,RESTAURANT#GENERAL,positive
,Even after they overcharged me the last time I was there.,SERVICE#GENERAL,negative
,Make sure you have the Spicy Scallop roll.. .,FOOD#QUALITY,positive
,it's delicious!,FOOD#QUALITY,positive
1212346,"Moules were excellent, lobster ravioli was VERY salty!",FOOD#QUALITY,positive
,,FOOD#QUALITY,negative
,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",SERVICE#GENERAL,negative
,"Told us to sit anywhere, and when we sat he said the table was reserved.",SERVICE#GENERAL,negative
,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,SERVICE#GENERAL,negative
,Tiny dessert was $8.00...just plain overpriced for what it is.,FOOD#STYLE_OPTIONS,negative
,,FOOD#PRICES,negative
1221938,The drinks are always welll made and wine selection is fairly priced.,DRINKS#QUALITY,positive
,,DRINKS#PRICES,positive
,Try their chef's specials-- they are to die for.,FOOD#QUALITY,positive
,"Service is not exactly five star, but thats not really a big deal.",SERVICE#GENERAL,neutral
,Downstairs lounge is always a good attraction,AMBIENCE#GENERAL,positive
1225162,"Raga's is a romantic, cozy restaurant.",AMBIENCE#GENERAL,positive
,The exotic food is beautifully presented and is a delight in delicious combinations.,FOOD#STYLE_OPTIONS,positive
,,FOOD#QUALITY,positive
,It is also extremely well priced.,FOOD#PRICES,positive
,The staff is incredibly helpful and attentive.,SERVICE#GENERAL,positive
,The bar is very well stocked with interesting beers and well priced wines.,DRINKS#STYLE_OPTIONS,positive
,,DRINKS#STYLE_OPTIONS,positive
,,DRINKS#PRICES,positive
,This is one of my favorite restaurants and it is not to be missed.,RESTAURANT#GENERAL,positive
,Your friends will thank you for introducing them to this gem!,RESTAURANT#GENERAL,positive
1227999,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",RESTAURANT#GENERAL,negative
,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",SERVICE#GENERAL,negative
,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. ",SERVICE#GENERAL,negative
,Such a disappointment...,SERVICE#GENERAL,negative
,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",SERVICE#GENERAL,negative
,,FOOD#QUALITY,neutral
,,RESTAURANT#GENERAL,negative
1230993,I had a grat time at Jekyll and Hyde!,RESTAURANT#GENERAL,positive
,I loved everythig about it-especially the shows and actors.,RESTAURANT#GENERAL,positive
,,AMBIENCE#GENERAL,positive
,,AMBIENCE#GENERAL,positive
,Our server was very helpful and friendly.,SERVICE#GENERAL,positive
,I am bringing my whole family back next time.,RESTAURANT#MISCELLANEOUS,positive
,The food was good too.,FOOD#QUALITY,positive
1232468,The tuna and wasabe potatoes are excellent.,FOOD#QUALITY,positive
,,FOOD#QUALITY,positive
,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,LOCATION#GENERAL,positive
,"Inside is a little cramped, but to be expected.",AMBIENCE#GENERAL,neutral
,Service was prompt and courteous.,SERVICE#GENERAL,positive
,This was a repeat visit and we'll definitely be back again.,RESTAURANT#GENERAL,positive
1241906,"Great service, great food.",SERVICE#GENERAL,positive
,,FOOD#QUALITY,positive
,Prices are in line.,RESTAURANT#PRICES,neutral
,"Compared to other shabu restaurants around town, this places wins hands-down.",,
,But too far east!,LOCATION#GENERAL,negative
1253117,I live a block away and go to Patsy's frequently.,,
,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",FOOD#QUALITY,positive
,,FOOD#QUALITY,positive
,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",FOOD#STYLE_OPTIONS,negative
,"Also, because it is so thin, it gets cold very quickly and its not that filling.",FOOD#QUALITY,negative
,,FOOD#STYLE_OPTIONS,negative
,So eat fast and order a lot.,,
,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,SERVICE#GENERAL,negative
,,FOOD#QUALITY,positive
1256373,By far the best salad I have had in a fast food restaurant.,FOOD#QUALITY,positive
,fine dining restaurant quality.,FOOD#QUALITY,positive
,Over 100 different choices to create your own.,FOOD#STYLE_OPTIONS,positive
,A must try!,RESTAURANT#GENERAL,positive
1264954,"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",RESTAURANT#GENERAL,positive
,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",FOOD#QUALITY,positive
,,AMBIENCE#GENERAL,positive
,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",FOOD#QUALITY,positive
,,FOOD#STYLE_OPTIONS,positive
,,FOOD#QUALITY,positive
,,SERVICE#GENERAL,positive
,"With so many poor experiences to be had in the theater district, is truly an excellent find!",RESTAURANT#GENERAL,positive
,We will return many times for this oasis in mid-town.,RESTAURANT#GENERAL,positive
1269216,I grew up on these bagels.,,
,The staff is no nonsense.,SERVICE#GENERAL,positive
,The food options rule.,FOOD#STYLE_OPTIONS,positive
,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,FOOD#QUALITY,positive
,Worth visiting the 1st Ave spot because it is the original store.,RESTAURANT#MISCELLANEOUS,positive
1275154,I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A.,,
,"Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",,
,I asked the chef what he recommends and he asked me if I like Uni. (,,
,"For those of you who don't know, Uni is Sea Urchin in Japanese, which happens to be my favorite.) ",,
,"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",FOOD#QUALITY,positive
,"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",,
,The sake menu should not be overlooked!,DRINKS#STYLE_OPTIONS,positive
,"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",RESTAURANT#GENERAL,positive
,Try the lobster teriyaki and the rose special roll.,FOOD#QUALITY,positive
,,FOOD#QUALITY,positive
1280166,We visited Orsay during NY Restaurant Week and tried their $35 menu.,,
,"Service was very good - prompt, attentive and non-intrusive.",SERVICE#GENERAL,positive
,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",FOOD#QUALITY,positive
,,FOOD#QUALITY,negative
,Wine list selection is good and wine-by-the-glass was generously filled to the top.,DRINKS#STYLE_OPTIONS,positive
,,DRINKS#STYLE_OPTIONS,positive
,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,AMBIENCE#GENERAL,positive
,,AMBIENCE#GENERAL,negative
1280179,"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.",RESTAURANT#GENERAL,positive
,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. ",SERVICE#GENERAL,neutral
,"Seating is always prompt, though the restaurant does fill up in the evening.",SERVICE#GENERAL,positive
,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",FOOD#QUALITY,positive
,,FOOD#QUALITY,negative
,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",SERVICE#GENERAL,neutral
,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",AMBIENCE#GENERAL,positive
,,AMBIENCE#GENERAL,positive
1286916,I have NEVER been disappointed in the Red Eye.,RESTAURANT#GENERAL,positive
,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",AMBIENCE#GENERAL,positive
,,AMBIENCE#GENERAL,positive
,I've never ordered anything else from their menu...there's no need to.,,
,It's simply the best meal in NYC.,FOOD#QUALITY,positive
,You cannot go wrong at the Red Eye Grill.,RESTAURANT#GENERAL,positive
1287538,"If we were to move from the upper east side, we would genuinely miss this restaurant.",RESTAURANT#GENERAL,positive
,We've lived in the area for more than 8 years.,,
,The restaurant is cute but not upscale.,AMBIENCE#GENERAL,neutral
,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,FOOD#QUALITY,positive
,,FOOD#QUALITY,positive
,I would highly recommend it.,RESTAURANT#GENERAL,positive
,It's one of our favorite places to eat in NY.,RESTAURANT#GENERAL,positive
1289424,We had a great time at the Jekyll and hyde Pub last night.,RESTAURANT#GENERAL,positive
,We were walking around the village and went into this place just for some drinks.,,
,After really enjoying ourselves at the bar we sat down at a table and had dinner.,RESTAURANT#GENERAL,positive
,The server was really cool and served us our food and drinks with a smile.,SERVICE#GENERAL,positive
,The place's decor and hidden bathrooms made for a good laugh.,AMBIENCE#GENERAL,positive
,,AMBIENCE#GENERAL,positive
,I highly recommend visiting this restaurant and having dinner and drinks!,RESTAURANT#GENERAL,positive
1293334,"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.",RESTAURANT#MISCELLANEOUS,positive
,"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.",RESTAURANT#GENERAL,positive
,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",DRINKS#STYLE_OPTIONS,positive
,,FOOD#QUALITY,positive
,,FOOD#QUALITY,positive
,The entertainment was great they have shows that go on through out the dinner.,AMBIENCE#GENERAL,positive
,"Please take my advice, go and try this place.",RESTAURANT#GENERAL,positive
,Its located in greenewich village.,,
,You will not be disapointed at all.,RESTAURANT#GENERAL,positive
1297844,Our first time in New York and we had to try a New York Bagel.,,
,We were not dissappointed in the least bit by this little gem.,RESTAURANT#GENERAL,positive
