rid,sentences__sentence__text,sentences__sentence__Opinions__Opinion__category,sentences__sentence__Opinions__Opinion__polarity
178,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",LAPTOP#GENERAL,positive
,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,LAPTOP#QUALITY,positive
,Its still going.,LAPTOP#QUALITY,positive
,It is in the best condition and has a really high quality.,LAPTOP#QUALITY,positive
,This is something i would deffinately reccomend to someone.,LAPTOP#GENERAL,positive
,You will not regret buying such a great thing like this!,LAPTOP#GENERAL,positive
,It can't get any better.,LAPTOP#GENERAL,positive
77,"Waited on getting this computer, but it has been a great change.",LAPTOP#GENERAL,positive
,Ease of use is just one of the benefits I love about my Mac.,LAPTOP#USABILITY,positive
342,This laptop meets every expectation and Windows 7 is great!,LAPTOP#GENERAL,positive
,,OS#GENERAL,positive
,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#OPERATION_PERFORMANCE,positive
,,LAPTOP#USABILITY,positive
,,LAPTOP#CONNECTIVITY,positive
,It's even easy to hook up to other wireless networks.,LAPTOP#CONNECTIVITY,positive
,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,BATTERY#OPERATION_PERFORMANCE,neutral
,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.,BATTERY#OPERATION_PERFORMANCE,positive
348,"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#GENERAL,positive
,,LAPTOP#OPERATION_PERFORMANCE,positive
,,HARD_DISC#DESIGN_FEATURES,positive
,,LAPTOP#QUALITY,positive
,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",DISPLAY#QUALITY,negative
,"Yes, I have it on the highest available setting.",,
347,I bought it for really cheap also and it's AMAZING.,LAPTOP#PRICE,positive
,,LAPTOP#GENERAL,positive
,Easy to start up and does not overheat as much as other laptops.,,
,Recommended to people as their first laptop.,LAPTOP#MISCELLANEOUS,positive
339,"Plain and simple, it(laptop) runs great and loads fast.",LAPTOP#OPERATION_PERFORMANCE,positive
,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",LAPTOP#PORTABILITY,positive
,,LAPTOP#CONNECTIVITY,positive
,Love that it doesn't take up space like a regular computer.,,
273,I'm already hooked on the sleek look and dependability that this laptop has shown.,LAPTOP#DESIGN_FEATURES,positive
,,LAPTOP#QUALITY,positive
,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",OS#USABILITY,neutral
,The unibody design is edgy and durable.,LAPTOP#DESIGN_FEATURES,positive
,,LAPTOP#QUALITY,positive
,The LED backlit display makes my pictures pop so much more.,DISPLAY#DESIGN_FEATURES,positive
,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,MOUSE#DESIGN_FEATURES,positive
,,LAPTOP#USABILITY,positive
,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",,
,A key contributor that led me to Mac is the art aspect.,LAPTOP#DESIGN_FEATURES,positive
,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,SOFTWARE#MISCELLANEOUS,positive
,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,LAPTOP#GENERAL,positive
,,LAPTOP#OPERATION_PERFORMANCE,positive
,It's more expensive but well worth it in the long run.,LAPTOP#PRICE,negative
,,LAPTOP#GENERAL,positive
240,"Great product, very easy to use and great graphics.",LAPTOP#GENERAL,positive
,,LAPTOP#USABILITY,positive
,,GRAPHICS#GENERAL,positive
,"One drawback, I wish the keys were backlit.",KEYBOARD#DESIGN_FEATURES,negative
,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",LAPTOP#GENERAL,positive
,,LAPTOP#PRICE,neutral
243,It had most of the features and all of the power that I wanted to replace my desktop machine.,LAPTOP#DESIGN_FEATURES,positive
,,LAPTOP#OPERATION_PERFORMANCE,positive
,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,LAPTOP#DESIGN_FEATURES,neutral
,,LAPTOP#PORTABILITY,positive
,I'm very happy with this machine!,LAPTOP#GENERAL,positive
285,"I love the size, keyboard, the functions.",LAPTOP#DESIGN_FEATURES,positive
,,KEYBOARD#GENERAL,positive
,,LAPTOP#OPERATION_PERFORMANCE,positive
,I don't really have a complaint.,LAPTOP#GENERAL,positive
,"It is easy to use, good quality and good price.",LAPTOP#USABILITY,positive
,,LAPTOP#QUALITY,positive
,,LAPTOP#PRICE,positive
,Perfect trifecta!,LAPTOP#GENERAL,positive
,I would recommend this product.,LAPTOP#GENERAL,positive
212,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,SOFTWARE#GENERAL,negative
,,LAPTOP#GENERAL,negative
93,This is my first Dell I heard their customer service was lacking and that they were working on improving it!,SUPPORT#QUALITY,neutral
,I purchased this laptop 9 months ago!,,
,The DVD burner broke after burning 3 DVD'd during that time!,OPTICAL_DRIVES#QUALITY,negative
,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,SUPPORT#QUALITY,negative
,I am currently out of town and called to inform them the broken part would be returned when I got back in town.,,
,If this is an improvement in Customer Service then I would hate too see what it was before!,SUPPORT#QUALITY,negative
,I spoke to 4 different people and was told they needed to transfer me to a 5th person!,SUPPORT#QUALITY,negative
,Needless to say I told them No and have a nice day and hung up!,SUPPORT#QUALITY,negative
,I can guarantee this will be the last Dell I will ever purchase!,LAPTOP#GENERAL,negative
,,COMPANY#GENERAL,negative
,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,LAPTOP#QUALITY,negative
,,SUPPORT#QUALITY,negative
,I do not recommend this company or their products!!!!,COMPANY#GENERAL,negative
252,"So far, a great product.",LAPTOP#GENERAL,positive
,"High price tag, however.",LAPTOP#PRICE,negative
,Still trying to learn how to use it.,LAPTOP#USABILITY,neutral
19,it is the worst computer dell ever made.,LAPTOP#GENERAL,negative
,it is hard to fix and makes it a hassle to own one.,LAPTOP#QUALITY,negative
,,LAPTOP#GENERAL,negative
,breaks easily.,LAPTOP#QUALITY,negative
,only good thing is the graphics quality.,GRAPHICS#QUALITY,positive
165,There are so many wonderful features and benefits to the new MacBook!,LAPTOP#DESIGN_FEATURES,positive
,,LAPTOP#GENERAL,positive
,The #1 reason that is always repeated.,,
,No Viruses!,LAPTOP#QUALITY,positive
,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,LAPTOP#OPERATION_PERFORMANCE,positive
,,LAPTOP#USABILITY,positive
,I am loyal to Apple.,COMPANY#GENERAL,positive
,The Macbooks worth every penny.,,
,"They're easy, fun, powerful and will last a long time.",,
,"The great 18 month same as cash financing and Advance Protection Plan which includes accidents like spills ., which Apple doesn't offer, is why I bought my MacBook at Best Buy.",,
,I am very Happy!,LAPTOP#GENERAL,positive
111,This just keeps having it's hard drive replaced!,HARD_DISC#QUALITY,negative
,Acer won't replace the laptop.,SUPPORT#QUALITY,negative
,the manufacturer's warranty only covers replacement/repair of parts.,WARRANTY#GENERAL,negative
,This thing is a lemon.,LAPTOP#QUALITY,negative
292,This MacBook is an outstanding product with great value.,LAPTOP#GENERAL,positive
,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,LAPTOP#USABILITY,positive
,,SUPPORT#QUALITY,positive
,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",BATTERY#OPERATION_PERFORMANCE,positive
,,LAPTOP#OPERATION_PERFORMANCE,positive
,It does run a little warm but that is a negligible concern.,LAPTOP#QUALITY,neutral
359,I was so excited to receive the Toshiba L455 as a gift/bonus for some work I had done for a friend of mine!,,
,I have owned it only two months!,,
,I have had nothing but problems since the day I took it out of the box!,LAPTOP#GENERAL,negative
,,LAPTOP#QUALITY,negative
,My first problem was with the pre-loaded Norton Firewall/Security program.,SOFTWARE#GENERAL,negative
,It would not let me connect to my Wifi system where I lived.,LAPTOP#CONNECTIVITY,negative
,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,SUPPORT#QUALITY,negative
,"Then just the other day, my left ""mouse"" button snapped!",MOUSE#QUALITY,negative
,"Being only 2 months old, I am not a happy camper!",LAPTOP#GENERAL,negative
,Buyer Beware.,LAPTOP#GENERAL,negative
,"this one, in my opinion, might be a lemon!",LAPTOP#QUALITY,negative
95,It rarely works and when it does it's incredibly slow.,LAPTOP#QUALITY,negative
,,LAPTOP#OPERATION_PERFORMANCE,negative
,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!,LAPTOP#QUALITY,negative
,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",LAPTOP#GENERAL,negative
360,Like the price and operation.,LAPTOP#PRICE,positive
,,LAPTOP#OPERATION_PERFORMANCE,positive
,"Some features arent friendly ( volume wheel, sound quality, etc.",LAPTOP#USABILITY,negative
,,MULTIMEDIA_DEVICES#USABILITY,negative
,,MULTIMEDIA_DEVICES#QUALITY,negative
,"But, for the cost this is a winner.",LAPTOP#GENERAL,positive
,,LAPTOP#PRICE,positive
66,I absolutely love my mac!,LAPTOP#GENERAL,positive
,I can't imagine my life without it anymore!,LAPTOP#GENERAL,positive
,It's perfect for everything and runs faster than an average pc!,,
384,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,LAPTOP#GENERAL,positive
,,PORTS#QUALITY,negative
,Apparently they are defective since they are not securely attached.,PORTS#QUALITY,negative
,I can barely use any usb devices because they will not stay connected properly.,LAPTOP#CONNECTIVITY,negative
,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,SUPPORT#QUALITY,negative
,I think I might rather suffer for something that is simple to fix in my opinion.,SUPPORT#QUALITY,negative
54,I bought this laptop Was the worst Laptop I've ever bought.,LAPTOP#GENERAL,negative
,I spent alot of money on this product and its been a nightmare.,LAPTOP#PRICE,negative
,,LAPTOP#GENERAL,negative
,And having to deal with the company has been a even worse nightmare.,SUPPORT#QUALITY,negative
,I sent it to them to fix in perfect condition but for what was wrong with it.,,
,They sent it back with a huge crack in it and it still didn't work.,SUPPORT#QUALITY,negative
,And that was the fourth time ive sent it to them to get fixed.,SUPPORT#QUALITY,negative
,Its been a year and am still waiting to see what there going to do about my laptop.,SUPPORT#QUALITY,negative
,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,COMPANY#GENERAL,negative
176,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,LAPTOP#GENERAL,positive
,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",DISPLAY#GENERAL,positive
,,BATTERY#OPERATION_PERFORMANCE,positive
,"A little pricey but it is well, well worth it.",LAPTOP#PRICE,negative
,,LAPTOP#GENERAL,positive
,I've been a PC user and I just finally switched and I am never going back.,,
,It is amazing.,LAPTOP#GENERAL,positive
59,In the first moth of owning this computer its hardrive failed which had to be replaced.,HARD_DISC#QUALITY,negative
,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,BATTERY#QUALITY,negative
,,BATTERY#OPERATION_PERFORMANCE,negative
,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,POWER_SUPPLY#QUALITY,negative
,,POWER_SUPPLY#OPERATION_PERFORMANCE,negative
,,HARDWARE#QUALITY,negative
,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,LAPTOP#QUALITY,negative
170,Has a 5-6 hour battery life.,BATTERY#OPERATION_PERFORMANCE,positive
,Much faster than my old windows laptop that died on me.,,
,It is easy to use and lightweight.,LAPTOP#USABILITY,positive
,,LAPTOP#DESIGN_FEATURES,positive
,Was very much worth the price i paid.,LAPTOP#GENERAL,positive
,,LAPTOP#PRICE,positive
90,This netbook went bad on me after 3 days.,LAPTOP#QUALITY,negative
,There is a blank lighted screen when I start and that is all.,DISPLAY#OPERATION_PERFORMANCE,negative
,I am also upset with CR for giving a good rating.,,
220,I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.,,
,"Three weeks after I bought the netbook, the screen quit working.",DISPLAY#QUALITY,negative
,,DISPLAY#OPERATION_PERFORMANCE,negative
,I baby my electronics so I know for a fact it was defective and not anything that I did to it.,DISPLAY#QUALITY,negative
,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",LAPTOP#QUALITY,negative
,,LAPTOP#OPERATION_PERFORMANCE,negative
,,BATTERY#OPERATION_PERFORMANCE,positive
278,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,LAPTOP#PORTABILITY,positive
,,LAPTOP#DESIGN_FEATURES,positive
,,LAPTOP#GENERAL,positive
,To my mind much more usable than the toy called an IPad.,,
135,The So called laptop Runs to Slow and I hate it!,LAPTOP#OPERATION_PERFORMANCE,negative
,,LAPTOP#GENERAL,negative
,Do not  buy it!,LAPTOP#GENERAL,negative
,It is the worst laptop ever,LAPTOP#GENERAL,negative
159,"The image is great, and the soud is excelent.",DISPLAY#QUALITY,positive
,,MULTIMEDIA_DEVICES#QUALITY,positive
,i love ths notebook.,LAPTOP#GENERAL,positive
57,I love the glass touchpad.,MOUSE#DESIGN_FEATURES,positive
,Easy learning curve.,LAPTOP#USABILITY,positive
,Also the display is exceptional!,DISPLAY#GENERAL,positive
76,I have loved this since i took it out of the box.,LAPTOP#GENERAL,positive
,The battery is really long.,BATTERY#OPERATION_PERFORMANCE,positive
,"the features are great, the only thing it needs is better speakers.",LAPTOP#DESIGN_FEATURES,positive
,,MULTIMEDIA_DEVICES#GENERAL,negative
28,Small and light weight.,LAPTOP#DESIGN_FEATURES,positive
,Speakers too small to be of any real use.,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative
,,MULTIMEDIA_DEVICES#USABILITY,negative
,Keyboard good sized and wasy to use.,KEYBOARD#DESIGN_FEATURES,positive
,,KEYBOARD#USABILITY,positive
,I like it!,LAPTOP#GENERAL,positive
267,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,LAPTOP#GENERAL,positive
,,LAPTOP#DESIGN_FEATURES,positive
,,LAPTOP#PORTABILITY,positive
132,"Needless to say, not to happy with the product.",LAPTOP#GENERAL,negative
167,This is a great machine!,LAPTOP#GENERAL,positive
,"The design is awesome, quality is unprecedented.",LAPTOP#DESIGN_FEATURES,positive
,,LAPTOP#QUALITY,positive
169,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#QUALITY,positive
,,LAPTOP#DESIGN_FEATURES,positive
,,LAPTOP#PRICE,positive
,,LAPTOP#OPERATION_PERFORMANCE,positive
197,It is by far one of the greatest investments I have ever made.,LAPTOP#GENERAL,positive
284,Consumer Report recommended Toshiba.,,
,"Am very glad I bought it, great netbook, low price.",LAPTOP#GENERAL,positive
,,LAPTOP#PRICE,positive
299,Very good quality and well made.,LAPTOP#QUALITY,positive
,Great pick for portability and affordability.,LAPTOP#PORTABILITY,positive
,,LAPTOP#PRICE,positive
,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,LAPTOP#DESIGN_FEATURES,positive
321,The only problem is a lack of screen resolutions!,DISPLAY#QUALITY,negative
325,"If you need an affordable, entry-level laptop, this will fit the bill.",LAPTOP#PRICE,positive
,,LAPTOP#MISCELLANEOUS,positive
,"I dislike the weight and size, cubersome.",LAPTOP#PORTABILITY,negative
,,LAPTOP#DESIGN_FEATURES,negative
,I dislike the quality and the placement of the speakers.,MULTIMEDIA_DEVICES#QUALITY,negative
,,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative
,"Overall, it's ok.",LAPTOP#GENERAL,neutral
326,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".",LAPTOP#DESIGN_FEATURES,negative
,This laptop is very large and barely fits in any carrying cases.,LAPTOP#DESIGN_FEATURES,negative
,,LAPTOP#PORTABILITY,negative
,Peformance is good for the price.,LAPTOP#OPERATION_PERFORMANCE,positive
,,LAPTOP#PRICE,neutral
,"If you're not wanting to be mobile, this is a good laptop to sit on a desk.",LAPTOP#PORTABILITY,negative
,,LAPTOP#GENERAL,positive
8,Had to have this computer repaired twice in the first 5 months after purchasing it.,LAPTOP#QUALITY,negative
,Not good for a person who gets online daily.,LAPTOP#MISCELLANEOUS,negative
,May be better for the occasional web surfer.,LAPTOP#MISCELLANEOUS,neutral
83,"I just got this laptop for college, and so far I am very happy with it.",LAPTOP#GENERAL,positive
,I really wanted a Mac over a pc because I used a Mac in high school.,,
,It is so much easier to use,LAPTOP#USABILITY,positive
81,"Good keyboard, long battery life, largest hard drive and windows 7.",KEYBOARD#GENERAL,positive
,,BATTERY#OPERATION_PERFORMANCE,positive
,,HARD_DISC#DESIGN_FEATURES,positive
,,OS#GENERAL,neutral
,And Toshiba is a quality supplier.,SUPPORT#QUALITY,positive
80,I love this little one.,LAPTOP#GENERAL,positive
,The keyboard has a wonderful nature feel.,KEYBOARD#QUALITY,positive
,I like it better than my big Dell Laptop.,,
,Seriously considering a larger laptop to replace the Dell,,
44,great battery life.,BATTERY#OPERATION_PERFORMANCE,positive
,Keyboard is reasonable size.,KEYBOARD#DESIGN_FEATURES,positive
,Small screen somewhat limiting but great for travel.,DISPLAY#DESIGN_FEATURES,negative
,,LAPTOP#PORTABILITY,positive
,Charger seems large for this class of computer.,POWER_SUPPLY#DESIGN_FEATURES,negative
200,"Great Laptop for the price, works well with action pack games.",LAPTOP#GENERAL,positive
,,LAPTOP#PRICE,neutral
,,LAPTOP#MISCELLANEOUS,positive
,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",KEYBOARD#DESIGN_FEATURES,negative
,,KEYBOARD#USABILITY,negative
,but other then that I would give this product a 4 in hafe stars.,LAPTOP#GENERAL,positive
206,Good for every day computing and web browsing.,LAPTOP#MISCELLANEOUS,positive
177,A great computer for light home use and business use.,LAPTOP#MISCELLANEOUS,positive
,Might not make the avid gamer happy but I don't really think that is what this computer is designed for.,LAPTOP#MISCELLANEOUS,neutral
,"Crisp screen, great battery life, and plenty of storage.",DISPLAY#QUALITY,positive
,,BATTERY#OPERATION_PERFORMANCE,positive
,,HARD_DISC#DESIGN_FEATURES,positive
,Very happy.,LAPTOP#GENERAL,positive
276,"My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school.",,
,so we got a good deal on hsn for an ascer notebook and we bought it for him.,,
,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,LAPTOP#GENERAL,positive
,,LAPTOP#USABILITY,positive
,now he mows yards so he can earn the money for the wireless internet.,,
,I would recomend this acer to parents and grandparents it can really help them in school.,LAPTOP#MISCELLANEOUS,positive
191,MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.,LAPTOP#MISCELLANEOUS,negative
,"IT WANT TAKE IT, IT KEEP SAYING ERROR.",LAPTOP#MISCELLANEOUS,negative
,"HELP, HELP, OTHER THAN THAT GETS A GREAT LITTLE WONDER.",LAPTOP#GENERAL,positive
237,It's fast and has excellent battery life.,LAPTOP#OPERATION_PERFORMANCE,positive
,,BATTERY#OPERATION_PERFORMANCE,positive
,The screen shows great colors.,DISPLAY#QUALITY,positive
247,I was surprised with the performance and quality of this HP Laptop.,LAPTOP#OPERATION_PERFORMANCE,positive
,,LAPTOP#QUALITY,positive
,the speed is fine.,LAPTOP#OPERATION_PERFORMANCE,positive
,Laptop is to be used like a Netbook.,,
,"But with A WAY Bigger Screen, and IS able to connect to an HDMI.",DISPLAY#DESIGN_FEATURES,positive
,,LAPTOP#CONNECTIVITY,positive
,Love it.,LAPTOP#GENERAL,positive
254,"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.",LAPTOP#GENERAL,positive
,,BATTERY#OPERATION_PERFORMANCE,positive
216,I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,BATTERY#OPERATION_PERFORMANCE,negative
242,This computer is the ideal college companion.,LAPTOP#MISCELLANEOUS,positive
,It's software and speed enable it to do amazing things.,LAPTOP#OPERATION_PERFORMANCE,positive
,,SOFTWARE#GENERAL,positive
338,I am not happy at all with the product I purchased.,LAPTOP#GENERAL,negative
,"A cheaper price should not equal a ""cheap"" product.",LAPTOP#PRICE,neutral
,,LAPTOP#QUALITY,negative
,It was over rated!,LAPTOP#GENERAL,negative
364,The Toshiba laptop was a great purchase.,LAPTOP#GENERAL,positive
,"The price was very good, and the product is top quality.",LAPTOP#PRICE,positive
,,LAPTOP#QUALITY,positive
,"The delivery was fast, and I would not hesitate to purchase this laptop again.",SHIPPING#QUALITY,positive
,,LAPTOP#GENERAL,positive
362,"This is my second laptop,and it is head and shoulders above my first.",,
,It has easy to use features and all the speed and power I could ask for.,LAPTOP#USABILITY,positive
,,LAPTOP#OPERATION_PERFORMANCE,positive
,True quality at a great price!,LAPTOP#QUALITY,positive
,,LAPTOP#PRICE,positive
357,I have used a computer at work but having your own personal laptop is AWSOME!,,
,I am enjoying it and the quality it provides is great!,LAPTOP#GENERAL,positive
,,LAPTOP#QUALITY,positive
,"Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!",COMPANY#GENERAL,positive
,,LAPTOP#GENERAL,positive
330,"This is the first laptop I've owned, althougth I used several at my previous job.",,
,"The screen graphics and clarity, and sharpness are great.",DISPLAY#QUALITY,positive
,I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.,LAPTOP#GENERAL,positive
322,I like the laptop overall.,LAPTOP#GENERAL,positive
,The only thing i can say is that the touch pad doesnt work like it should all the time.,MOUSE#OPERATION_PERFORMANCE,negative
,Sometimes you really have to tap the pad to get it to work,MOUSE#OPERATION_PERFORMANCE,negative
,,MOUSE#USABILITY,negative
354,This is a great little computer for the price.,LAPTOP#GENERAL,positive
,,LAPTOP#PRICE,neutral
,"Simple to use, and great graphics.",LAPTOP#USABILITY,positive
,,GRAPHICS#GENERAL,positive
,It has everything I would need for a home computer.,LAPTOP#MISCELLANEOUS,positive
,I'm very impressed.,LAPTOP#GENERAL,positive
301,It was secure and easy to navigate.,LAPTOP#QUALITY,positive
,,LAPTOP#USABILITY,positive
,It is everything that I would want in a computer.,LAPTOP#GENERAL,positive
,"Besides the great look, it is a great machine.",LAPTOP#DESIGN_FEATURES,positive
,,LAPTOP#GENERAL,positive
,I would definitely not go back to using a PC after using the mac.,,
,Once again apple stands alone at the top of the charts.,COMPANY#GENERAL,positive
369,"I enjoy very much my new Toshiba, purchased specifially for attending online schooling.",LAPTOP#GENERAL,positive
,"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",LAPTOP#USABILITY,positive
,"I have found also, it is very easy to be able to access wireless internet access; without having to have extra equipment and/or complicated routes to take to be able to do so.",LAPTOP#CONNECTIVITY,positive
,"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.",LAPTOP#DESIGN_FEATURES,positive
,,LAPTOP#USABILITY,positive
,,LAPTOP#MISCELLANEOUS,positive
,I am very pleased with my purchase!,LAPTOP#GENERAL,positive
371,This laptop serves all my needs.,LAPTOP#GENERAL,positive
,Screen size is perfect for portable use in any environment.,DISPLAY#DESIGN_FEATURES,positive
,,LAPTOP#PORTABILITY,positive
,Price and purpose is awesome!,LAPTOP#PRICE,positive
,,LAPTOP#MISCELLANEOUS,positive
373,I have been very pleased with the performance of this laptop.,LAPTOP#OPERATION_PERFORMANCE,positive
,"The battery life seems to be very good, and have had no issues with it.",BATTERY#OPERATION_PERFORMANCE,positive
,Great product.,LAPTOP#GENERAL,positive
382,The laptop was very easy to set up.,LAPTOP#USABILITY,positive
,I did not have to call the support line at all.,,
,Everything was so easy.,LAPTOP#USABILITY,positive
385,I purchased two laptops (for my husband and 16 year old daughter).,,
,"My husband uses it mostly for games, email and music.",,
,"My daughter uses it for games, email, facebook, pictures and music.",,
,They were able to set-up with labtops themselves within a few minutes.,LAPTOP#USABILITY,positive
,It works fine with our wireless and they've had not problems.,LAPTOP#CONNECTIVITY,positive
,,LAPTOP#GENERAL,positive
,It's a great product for a great price!,LAPTOP#GENERAL,positive
,,LAPTOP#PRICE,positive
